ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
0,bull1247,modal,bi,,,
1,bull1247,modal,ce,,,
2,bull1247,modal,lɛ̀,,,
3,bull1247,modal,lɛ̀lɛ̀,,,
4,doma1258,modal,bidd-,,,
5,doma1258,modal,lāzem,,,
6,doma1258,modal,saka-,,,
7,doma1258,modal,xallī,,,
8,gitx1241,modal,anook(xw),,,
9,gitx1241,modal,da’akhlxw,,,
10,gitx1241,modal,gat,,,
11,gitx1241,modal,ima(’a),,,
12,gitx1241,modal,sgi,,,
13,goem1240,modal,bòe,,,
14,goem1240,modal,gòe,,,
15,goem1240,modal,mán,,,
16,goem1240,modal,ǹ-,,,
17,goem1240,modal,t'óng,,,
18,hinu1240,modal,-aru-/-ru,,,
19,hinu1240,modal,-eq’i,,,
20,hinu1240,modal,-ese-/-es-,,,
21,hinu1240,modal,k'ʷ ezi -iqi,,,
22,hinu1240,modal,ko ň ’e-/ko ň ’er,,,
23,hupd1244,modal,-nɔ́-cud-yæ̃́h-æ̃́h,,,
24,hupd1244,modal,-nɨ̂̌ŋ,,,
25,hupd1244,modal,-yæ̃́ʔ-,,,
26,hupd1244,modal,-ʔṹh,,,
27,hupd1244,modal,=cudʔṹh,,,
28,hupd1244,modal,=tih,,,
29,hupd1244,modal,ʔṹh,,,
30,hupd1244,modal,ʔṹhníy,,,
31,java1254,modal,iso,,,
32,java1254,modal,kudu1,,,
33,java1254,modal,kudu1-ne,,,
34,java1254,modal,kudu2,,,
35,java1254,modal,mesthi,,,
36,java1254,modal,mesthi-ne,,,
37,java1254,modal,oleh,,,
38,java1254,modal,paleng,,,
39,kumi1248,modal,-kex,,,
40,kumi1248,modal,-lly,,,
41,kumi1248,modal,-ma,,,
42,kumi1248,modal,-pek,,,
43,kumi1248,modal,-wash,,,
44,kumi1248,modal,-x,,,
45,kwaz1243,modal,-(da)-te-,,,
46,kwaz1243,modal,-cehere,,,
47,kwaz1243,modal,-here-,,,
48,kwaz1243,modal,-heta-,,,
49,kwaz1243,modal,-tehere,,,
50,kwaz1243,modal,-tsi,,,
51,kwaz1243,modal,-tsy-,,,
52,kwaz1243,modal,damỹ,,,
53,lill1248,modal,-an',,,
54,lill1248,modal,-ku7,,,
55,lill1248,modal,k'a,,,
56,lill1248,modal,ka,,,
57,lill1248,modal,ka-...-a,,,
58,lill1248,modal,kelh,,,
59,logo1258,modal,fwana,,,
60,logo1258,modal,haondi,,,
61,logo1258,modal,kudoka,,,
62,logo1258,modal,kunyala,,,
63,logo1258,modal,kwenya,,,
64,logo1258,modal,kwenya-Vk,,,
65,mian1256,modal,-Vm,,,
66,mian1256,modal,-aam,,,
67,mian1256,modal,-aamab/-omab,,,
68,mian1256,modal,-an=o/-al=e/-ek=o/-ok=o/-om=o/-in=e,,,
69,mian1256,modal,-mab/-omab,,,
70,nene1249,modal,-n(')aqxiə/-meəqxiə,,,
71,nene1249,modal,-n(')arəxə/-rəxa,,,
72,nene1249,modal,-pc(')aqiə,,,
73,nene1249,modal,-pc(')u,,,
74,nene1249,modal,-wanŋkə'ba,,,
75,nene1249,modal,-wed (various form depending on person),,,
76,nene1249,modal,-wnta,,,
77,nene1249,modal,-ya,,,
78,nene1249,modal,-yi,,,
79,nort2722,modal,-ʂu,,,
80,nort2722,modal,dʐə,,,
81,nort2722,modal,gu,,,
82,nort2722,modal,je,,,
83,nort2722,modal,lu,,,
84,nort2722,modal,ma-ŋuə-tɕi,,,
85,nort2722,modal,me-tɕhi,,,
86,nort2722,modal,qe,,,
87,nort2722,modal,se,,,
88,nort2722,modal,tɕa-ŋu̥ə̥,,,
89,nort2722,modal,various perspective aspect form(),,,
90,nort2722,modal,yʐə,,,
91,nort2722,modal,zulu,,,
92,nort2722,modal,ŋua-(ʂɑ)/ŋua-sɑn/ŋua-ŋua,,,
93,nort2722,modal,ŋuə-ɳi,,,
94,nort2722,modal,ɕtɕaq-lu,,,
95,nort2722,modal,ʁu,,,
96,nort2722,modal,ʁze,,,
97,pile1238,modal,=a,,,
98,pile1238,modal,ke,,,
99,pile1238,modal,me,,,
100,pile1238,modal,na,,,
101,sich1238,modal,but,,,
102,sich1238,modal,ddie ddur,,,
103,sich1238,modal,dop,,,
104,sich1238,modal,get,,,
105,sich1238,modal,hna,,,
106,sich1238,modal,hxi nyi,,,
107,sich1238,modal,hxit,,,
108,sich1238,modal,jox dop(?),,,
109,sich1238,modal,mo ddix,,,
110,sich1238,modal,mo mgu,,,
111,sich1238,modal,qi,,,
112,sich1238,modal,ssox/ ddip ssox,,,
113,sich1238,modal,tat xi,,,
114,sich1238,modal,yix syp,,,
115,tlin1245,modal,future mode,,,
116,tlin1245,modal,giwe,,,
117,tlin1245,modal,gwál,,,
118,tlin1245,modal,potential mode,,,
119,tlin1245,modal,shákdé,,,
